id,region,municipality,settlement,type,Population,Children,latitude_dms,longitude_dms,latitude_dd,longitude_dd,oktmo,dadata,rosstat,Index_2000,region_id
23003,Республика Карелия,Костомукшский,Костомукша,г,29381,6172,64.35.21,030.36.06,64.5891666666667,30.6016666666667,86706000001.0,0,1,1.33918664848829,10
45412,Республика Дагестан,Дагестанские Огни,Дагестанские Огни,г,29401,9524,42.06.55,048.11.38,42.1152777777778,48.1938888888889,82708000001.0,0,1,-0.192330903366665,5
80667,Костромская область,Буйский район,Буй,г,29434,5343,58.28.54,041.31.59,58.4816666666667,41.5330555555556,34705000001.0,1,0,0.588273142199151,47
117274,Алтайский край,Славгород,Славгород,г,29506,6827,52.59.58,078.38.45,52.9994444444444,78.6458333333333,1719000001.0,1,0,0.0577446377160051,23
51324,Новосибирская область,Обь,Обь,г,29739,6488,54.59.41,082.41.38,54.9947222222222,82.6938888888889,50717000001.0,0,1,0.329794511289355,57
39115,Республика Татарстан,Лаишевский район,Лаишево,г,29751,5197,55.24.16,049.33.00,55.4044444444444,49.55,92634101001.0,0,1,4.32273247420668,17
81226,Московская область,Луховицкий,Луховицы,г,29850,5655,54.57.55,039.01.31,54.9652777777778,39.0252777777778,46747000001.0,0,1,2.34100537148419,53
90501,Челябинская область,Ашинский район,Аша,г,29946,6771,54.59.26,057.16.42,54.9905555555556,57.2783333333333,75609101001.0,0,1,0.375688599040341,76
57223,Севастополь,Балаклава,Балаклава,г,30182,4311,44.30.18,033.35.54,44.505,33.5983333333333,67302000051.0,1,0,-1.74390626179425,80
108845,Республика Карелия,Кондопожский,Кондопога,г,30299,6343,62.12.20,034.14.46,62.2055555555556,34.2461111111111,86615101001.0,0,1,-0.152494455155653,10
150495,Калужская область,Кировский,Киров,г,30311,6138,54.04.45,034.18.28,54.0791666666667,34.3077777777778,29614101001.0,0,1,0.229836142744768,44
122837,Карачаево-Черкесская республика,Усть-Джегутинский район,Усть-Джегута,г,30438,12505,44.05.02,041.58.16,44.0838888888889,41.9711111111111,91635101001.0,0,1,0.99906587059751,9
129830,Рязанская область,Город Касимов,Касимов,г,30696,6035,54.56.14,041.23.29,54.9372222222222,41.3913888888889,61705000001.0,0,1,-0.542964959183098,64
111519,Кабардино-Балкарская республика,Урванский район,Нарткала,г,30704,7658,43.33.24,043.51.43,43.5566666666667,43.8619444444444,83640101001.0,0,1,2.12441509360087,7
25249,Тульская область,Богородицкий район,Богородицк,г,30772,5687,53.46.12,038.07.21,53.77,38.1225,70608101001.0,1,0,1.30379614129105,73
155613,Иркутская область,Зима,Зима,г,30818,8989,53.54.37,102.02.36,53.9102777777778,102.043333333333,25720000001.0,1,0,-0.81527502754097,42
116862,Смоленская область,Город Десногорск,Десногорск,г,30923,5638,54.08.47,033.17.00,54.1463888888889,33.2833333333333,66710000.0,1,0,-1.69279144582797,69
126770,Ярославская область,Ростовский район,Ростов,г,30923,6385,57.11.09,039.24.52,57.1858333333333,39.4144444444444,78637101001.0,0,1,-3.99851977083428,77
67233,Свердловская область,Артёмовский городской округ,Артемовский,г,30944,6417,57.20.18,061.53.41,57.3383333333333,61.8947222222222,65703000001.0,0,1,-0.804320602578741,68
1486,Республика Башкортостан,Дюртюлинский,Дюртюли,г,30969,7375,55.29.07,054.52.24,55.4852777777778,54.8733333333333,80624101001.0,0,1,-0.466442780621696,2
44439,Тверская область,Удомельский район,Удомля,г,31031,5303,57.52.36,035.00.18,57.8766666666667,35.005,28751000001.0,0,1,-0.728868709431973,71
26403,Саратовская область,Марксовский район,Маркс,г,31174,6311,51.42.48,046.44.24,51.7133333333333,46.74,63626101001.0,0,1,-1.26368521389661,66
1683,Пермский край,Кудымкар,Кудымкар,г,31265,8192,59.00.52,054.39.51,59.0144444444444,54.6641666666667,57851000001.0,0,1,1.99938113114262,28
88692,Московская область,Орехово-Зуевский,Ликино-Дулево,г,31321,6074,55.42.28,038.57.28,55.7077777777778,38.9577777777778,46757000016.0,0,1,-0.113740530789356,53
88271,Московская область,Можайский,Можайск,г,31363,6303,55.30.24,036.01.02,55.5066666666667,36.0172222222222,46745000001.0,0,1,1.04716525852226,53
109615,Пензенская область,Сердобский район,Сердобск,г,31475,5406,52.27.21,044.12.10,52.4558333333333,44.2027777777778,56656101001.0,0,1,-0.61373993509691,61
142315,Вологодская область,Великоустюгский район,Великий Устюг,г,31475,7565,60.45.37,046.18.20,60.7602777777778,46.3055555555556,19614101001.0,0,1,1.50983151616251,39
92490,Смоленская область,Гагаринский район,Гагарин,г,31560,5392,55.33.12,034.59.49,55.5533333333333,34.9969444444444,66608101001.0,0,1,0.918030711373981,69
105451,Воронежская область,город Нововоронеж,Нововоронеж,г,31568,5621,51.18.33,039.12.59,51.3091666666667,39.2163888888889,20727000001.0,0,1,1.69876627118441,40
74426,Ставропольский край,Благодарненский район,Благодарный,г,31720,7527,45.05.57,043.25.50,45.0991666666667,43.4305555555556,7705000001.0,1,0,-0.406165453056264,30
100908,Архангельская область,Мирный,Мирный,г,32028,6388,62.45.52,040.20.10,62.7644444444444,40.3361111111111,11725000001.0,0,1,0.479612794309875,33
73769,Нижегородская область,Кулебаки,Кулебаки,г,32076,6804,55.25.47,042.30.45,55.4297222222222,42.5125,22727000001.0,0,1,0.584498308199722,55
96899,Ямало-Ненецкий автономный округ,Муравленко,Муравленко,г,32132,8554,63.47.43,074.29.40,63.7952777777778,74.4944444444444,71955000001.0,0,1,-1.68504109500731,85
150541,Краснодарский край,Приморско-Ахтарский район,Приморско-Ахтарск,г,32180,5441,46.03.06,038.10.14,46.0516666666667,38.1705555555556,3641101001.0,0,1,2.07988274487808,26
151067,Воронежская область,Острогожский район,Острогожск,г,32317,5062,50.51.37,039.04.56,50.8602777777778,39.0822222222222,20631101001.0,1,0,1.00358208674812,40
149821,Ленинградская область,Сланцевский муниципальный район,Сланцы,г,32337,5711,59.07.04,028.05.17,59.1177777777778,28.0880555555556,41642101001.0,0,1,1.60155598869187,50
70029,Московская область,Котельники,Котельники,г,32338,6874,55.39.35,037.51.48,55.6597222222222,37.8633333333333,46739000001.0,0,1,-0.612895214116188,53
126972,Челябинская область,Трёхгорный,Трехгорный,г,32355,6578,54.49.04,058.26.47,54.8177777777778,58.4463888888889,75707000001.0,1,0,-0.594666835044968,76
